survived,pclass,sex,age,sibSp,parch,fare,embarked,family_size,title
0,3,1,-0.5922398190045246,1,0,-0.3120106021758714,2,1.0,2
1,1,0,0.6385294117647061,1,0,2.4612422909015312,0,1.0,3
1,3,0,-0.28454751131221695,0,0,-0.2827766613540295,2,0.0,1
1,1,0,0.4077601809954754,1,0,1.6737318966114614,2,1.0,3
0,3,1,0.4077601809954754,0,0,-0.277362968609244,2,0.0,2
0,3,1,0.0,0,0,-0.25967968262767654,1,0.0,2
0,1,1,1.8692986425339368,0,0,1.6201363384380845,2,0.0,2
0,3,1,-2.130701357466063,3,1,0.2867438153974083,2,4.0,0
1,3,0,-0.20762443438914,0,2,-0.14382665788926616,2,2.0,3
1,2,0,-1.20762443438914,1,0,0.6763477929457417,0,1.0,3
1,3,0,-1.9768552036199092,1,1,0.09726456932991473,2,2.0,1
1,1,0,2.176990950226245,0,0,0.5238635576190146,2,0.0,1
0,3,1,-0.7460859728506785,0,0,-0.277362968609244,2,0.0,2
0,3,1,0.7154524886877831,1,5,0.7285011433719076,2,6.0,2
0,3,0,-1.20762443438914,0,0,-0.2858429769246761,2,0.0,1
1,2,0,1.946221719457014,0,0,0.06694788995911578,2,0.0,3
0,3,1,-2.130701357466063,4,1,0.6353856281615965,1,5.0,0
1,2,1,0.0,0,0,-0.06298073591573695,2,0.0,2
0,3,0,0.10006787330316769,1,0,0.15356697387568427,2,1.0,3
1,3,0,0.0,0,0,-0.31309334072482853,0,0.0,3
0,2,1,0.4077601809954754,0,0,0.5000433095419583,2,0.0,2
1,2,1,0.33083710407239847,0,0,-0.06298073591573695,2,0.0,2
1,3,0,-1.1307013574660632,0,0,-0.27826380708197634,1,0.0,1
1,1,1,-0.1307013574660631,0,0,0.9114839581456586,2,0.0,2
0,3,0,-1.6691628959276015,3,1,0.2867438153974083,2,4.0,1
1,3,0,0.6385294117647061,1,5,0.7333734668422146,2,6.0,3
0,3,1,0.0,0,0,-0.31309334072482853,0,0.0,2
0,1,1,-0.8230090497737554,3,2,10.764404753655324,2,5.0,2
1,3,0,0.0,0,0,-0.28476023837571895,1,0.0,1
0,3,1,0.0,0,0,-0.2840412999792114,2,0.0,2
0,1,1,0.79237556561086,0,0,0.5745703693437738,0,0.0,4
1,1,0,0.0,1,0,5.719743953987942,0,1.0,3
1,3,0,0.0,0,0,-0.29035583119672925,1,0.0,1
0,2,1,2.79237556561086,0,0,-0.1712545908114476,2,0.0,2
0,1,1,-0.1307013574660631,1,0,2.9327749289723513,0,1.0,2
0,1,1,0.9462217194570138,1,0,1.6260914004573488,2,1.0,2
1,3,1,0.0,0,0,-0.3129114406486037,0,0.0,2
0,3,1,-0.6691628959276016,0,0,-0.277362968609244,2,0.0,2
0,3,0,-0.8999321266968323,2,0,0.15356697387568427,2,2.0,1
1,3,0,-1.20762443438914,1,0,-0.13913190354098817,0,1.0,1
0,3,0,0.79237556561086,1,0,-0.21564687131868895,2,1.0,3
0,2,0,-0.20762443438914,1,0,0.283495599750537,2,1.0,3
0,3,1,0.0,0,0,-0.2840412999792114,0,0.0,2
1,2,0,-2.053778280542986,1,2,1.1747713256184602,0,3.0,1
1,3,0,-0.8230090497737554,0,0,-0.28476023837571895,1,0.0,1
0,3,1,0.0,0,0,-0.277362968609244,2,0.0,2
0,3,1,0.0,1,0,0.04529311897997366,1,1.0,2
0,3,1,0.0,2,0,0.31291144064860377,0,2.0,2
0,3,0,-0.8999321266968323,1,0,0.14490506548402746,2,1.0,3
0,3,1,-1.7460859728506786,4,1,1.092842665095974,2,5.0,0
0,3,1,-0.6691628959276016,0,0,-0.28819035409881505,2,0.0,2
1,1,0,1.4846832579185523,1,0,2.6971017254521517,0,1.0,3
1,2,0,-0.05377828054298616,1,0,0.5000433095419583,2,1.0,3
0,1,1,2.715452488687783,0,1,2.058285981567459,0,1.0,2
1,1,1,0.0,0,0,0.9114839581456586,2,0.0,2
1,2,0,-0.6691628959276016,0,0,-0.1712545908114476,2,0.0,1
0,3,1,-0.09223981900452462,0,0,-0.3129114406486037,0,0.0,2
